Продукт,Калорийность,Белки,Жиры,Углеводы
Коктейль Шоколадный [Макдоналдс],395 кКал,10 г,8 г,70 г
Коктейль шоколадный McDonalds 400 мл [Макдоналдс],395 кКал,10 г,8 г,70 г
"Кофе (0,2 L) [Макдоналдс]",7 кКал,"0,6 г","0,2 г","0,6 г"
"Кофе (0,3 L) [Макдоналдс]",10 кКал,"0,9 г",0 г,"0,9 г"
"Кофе Глясе (0,3 L) [Макдоналдс]",123 кКал,"3,6 г","3,3 г",20 г
Кофе Гляссе [Макдоналдс],125 кКал,4 г,3 г,19 г
Кофе Латте [Макдоналдс],132 кКал,"6,1 г","7,4 г",10 г
Кофе Мокко [Макдоналдс],230 кКал,9 г,8 г,30 г
Кофе Сливочная Арабика [Макдоналдс],298 кКал,6 г,22 г,19 г
"Кофе Флэт Уайт (0,3 L) [Макдоналдс]",113 кКал,"5,8 г",6 г,"8,9 г"
Креветки в Кляре [Макдоналдс],267 кКал,"12,5 г","13,5 г","22,9 г"
Круассан [Макдоналдс],191 кКал,"3,5 г",11 г,19 г
Круассан с Сыром и Прованскими Травами [Макдоналдс],280 кКал,7 г,17 г,24 г
Куриные Крылышки (4) [Макдоналдс],184 кКал,20 г,11 г,"1,5 г"
Куриные Крылышки (6) [Макдоналдс],292 кКал,32 г,16 г,"4,1 г"
Куриные Крылышки (9) [Макдоналдс],415 кКал,45 г,24 г,"3,3 г"
Куриные Крылышки [Макдоналдс],99 кКал,"6,1 г","6,5 г","4,1 г"
Куриные Крылья [Макдоналдс],973 кКал,60 г,63 г,42 г
Куриные Наггетсы [Макдоналдс],45 кКал,"2,8 г","2,3 г","3,2 г"
"Латте (0,3 L) [Макдоналдс]",125 кКал,6 г,7 г,10 г
"Латте Гранд (0,4 L) [Макдоналдс]",130 кКал,"6,5 г",7 г,10 г
Лимонад Вишня [Макдоналдс],139 кКал,0 г,0 г,35 г
Лимонад Гренадин [Макдоналдс],79 кКал,0 г,0 г,20 г
Лимонад Гуава [Макдоналдс],140 кКал,"0,1 г",0 г,35 г
Лимонад Малина [Макдоналдс],139 кКал,0 г,0 г,35 г
Лимонный Треугольник [Макдоналдс],130 кКал,"1,3 г","6,9 г",16 г
Лимонный Чизкейк [Макдоналдс],281 кКал,7 г,17 г,24 г
Макарони [Макдоналдс],75 кКал,"1,1 г","3,4 г","9,8 г"
Макзавтрак Блины с джемом [Макдоналдс],303 кКал,7 г,3 г,57 г
Макзавтрак Блины с мёдом [Макдоналдс],308 кКал,7 г,3 г,59 г
Макзавтрак Блины стандартные [Макдоналдс],235 кКал,7 г,3 г,45 г
Макзавтрак двойной МакМаффин с яйцом и свиной котлетой [Макдоналдс],645 кКал,36 г,41 г,31 г
Макзавтрак двойной Фреш МакМаффин [Макдоналдс],560 кКал,27 г,35 г,33 г
Макзавтрак МакМаффин с яйцом и беконом [Макдоналдс],310 кКал,17 г,14 г,27 г
Макзавтрак МакМаффин с яйцом и свиной котлетой [Макдоналдс],435 кКал,24 г,25 г,27 г
Макзавтрак МакМаффин с яйцом и сыром [Макдоналдс],275 кКал,15 г,11 г,27 г
Макзавтрак МакМаффин со свиной котлетой [Макдоналдс],360 кКал,17 г,20 г,27 г
Макзавтрак МакТост [Макдоналдс],255 кКал,10 г,10 г,30 г
Макзавтрак МакТост с ветчиной [Макдоналдс],280 кКал,14 г,11 г,30 г
Макзавтрак Овсяная каша с джемом [Макдоналдс],200 кКал,4 г,4 г,35 г
Макзавтрак Овсяная каша с клюквой и изюмом [Макдоналдс],212 кКал,"4,3 г",4 г,38 г
Макзавтрак Овсяная каша с мёдом [Макдоналдс],210 кКал,4 г,4 г,35 г
Макзавтрак Овсяная каша стандартная [Макдоналдс],150 кКал,4 г,4 г,23 г
Макзавтрак Снек Ролл с омлетом и беконом [Макдоналдс],320 кКал,16 г,16 г,27 г
Макзавтрак Снек Ролл с омлетом и свиной котлетой [Макдоналдс],435 кКал,22 г,26 г,27 г
Макзавтрак Фреш МакМаффин [Макдоналдс],400 кКал,18 г,21 г,33 г
Макзавтрак Хашбраун [Макдоналдс],135 кКал,1 г,8 г,14 г
Макзавтрак Чикен Фреш МакМаффин [Макдоналдс],365 кКал,19 г,13 г,41 г
Макмаффин с Яйцом и Беконом [Макдоналдс],317 кКал,18 г,15 г,26 г
Макмаффин с Яйцом и Ветчиной [Макдоналдс],312 кКал,20 г,14 г,27 г
Макмаффин с Яйцом и Свиной Котлетой [Макдоналдс],434 кКал,25 г,25 г,26 г
Макмаффин с Яйцом и Сыром [Макдоналдс],289 кКал,16 г,13 г,26 г
Макмаффин со Свиной Котлетой [Макдоналдс],344 кКал,18 г,18 г,26 г
Макпирог Клубничный Чизкейк [Макдоналдс],186 кКал,3 г,7 г,27 г
Макпирог с Вишней [Макдоналдс],255 кКал,3 г,13 г,31 г
Макпирог Шоколадно-Апельсиновый [Макдоналдс],294 кКал,3 г,14 г,38 г
Максанди с Карамелью [Макдоналдс],241 кКал,5 г,5 г,44 г
Максанди с Шоколадом [Макдоналдс],243 кКал,"5,7 г","6,8 г","39,5 г"
Мактост [Макдоналдс],255 кКал,10 г,10 г,30 г
Мактост с Ветчиной [Макдоналдс],280 кКал,14 г,11 г,30 г
Мактост с Ветчиной и Сыром [Макдоналдс],265 кКал,14 г,11 г,28 г
Мактост с Грибами и Сыром [Макдоналдс],243 кКал,"8,8 г",11 г,26 г
Мактост с Сыром [Макдоналдс],240 кКал,10 г,"9,7 г",27 г
Макфлури Гуава [Макдоналдс],343 кКал,"6,4 г","8,2 г",61 г
